City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Kibaya,TZ,-5.3,36.5667,58.93,98,100,1.52,light rain
147,Pisco,PE,-13.7,-76.2167,66.02,94,40,4.61,scattered clouds
148,Burnie,AU,-41.0667,145.9167,72.95,50,0,8.9,clear sky
149,Cururupu,BR,-1.8283,-44.8683,74.39,96,100,2.53,overcast clouds
150,Mendeleyevo,RU,56.0333,37.2167,27.88,93,100,8.95,snow
151,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.85,98,94,2.55,overcast clouds
152,Victoria,HK,22.2855,114.1577,64.94,91,100,5.99,overcast clouds
153,Khatanga,RU,71.9667,102.5,-18.33,98,100,9.69,overcast clouds
154,Mpulungu,ZM,-8.7623,31.1141,69.35,92,100,1.97,light rain
155,Kaitangata,NZ,-46.2817,169.8464,59.94,80,39,6.76,scattered clouds
156,Upernavik,GL,72.7868,-56.1549,-14.57,100,100,6.91,overcast clouds
157,Esperance,AU,-33.8667,121.9,76.84,44,11,23.29,few clouds
158,Sulangan,PH,11.1373,123.7228,81.57,70,52,7.92,broken clouds
159,Saldanha,ZA,-33.0117,17.9442,62.65,97,37,7.47,scattered clouds
160,Cayenne,GF,4.9333,-52.3333,80.1,87,75,3.0,broken clouds
161,North Myrtle Beach,US,33.816,-78.68,46.45,80,75,6.91,broken clouds
162,Malindi,KE,-3.2175,40.1191,77.16,88,20,0.0,few clouds
163,Wanlaweyn,SO,2.6185,44.8938,76.12,65,67,18.39,broken clouds
164,Oistins,BB,13.0667,-59.5333,75.29,83,75,14.97,broken clouds
165,Nova Vicosa,BR,-17.8919,-39.3719,75.79,88,24,7.96,few clouds
166,Ancud,CL,-41.8697,-73.8203,53.42,90,4,2.21,clear sky
167,Redlands,US,34.0556,-117.1825,68.27,21,0,3.44,clear sky
168,Vestmannaeyjar,IS,63.4427,-20.2734,36.81,98,100,63.04,overcast clouds
169,Hilo,US,19.7297,-155.09,70.79,93,78,1.99,broken clouds
170,Nkayi,CG,-4.1841,13.2884,71.62,97,100,1.79,overcast clouds
171,Nantucket,US,41.2835,-70.0995,33.91,72,0,11.5,clear sky
172,Soe,ID,-9.8607,124.284,79.43,70,42,3.13,scattered clouds
173,Rantauprapat,ID,2.1,99.8333,84.15,67,97,2.89,overcast clouds
174,Carutapera,BR,-1.195,-46.02,75.43,94,100,3.98,overcast clouds
175,Kloulklubed,PW,7.0419,134.2556,84.7,79,66,21.68,broken clouds
176,Kahului,US,20.8947,-156.47,75.22,64,0,20.71,clear sky
177,Gornoye Loo,RU,43.7129,39.6049,35.38,77,100,9.69,overcast clouds
178,Price,US,39.5994,-110.8107,34.86,40,0,9.22,clear sky
179,Taebla,EE,58.9547,23.7419,33.87,99,100,3.53,overcast clouds
180,Nampula,MZ,-15.1165,39.2666,75.15,88,40,5.75,scattered clouds
181,Calvinia,ZA,-31.4707,19.776,74.48,35,0,3.24,clear sky
182,Amapa,BR,1.0,-52.0,70.12,100,100,0.81,overcast clouds
183,Williams Lake,CA,52.1415,-122.1445,40.57,75,75,10.36,broken clouds
184,Benguela,AO,-12.5763,13.4055,76.39,72,100,2.53,overcast clouds
185,Ostrovnoy,RU,68.0531,39.5131,11.16,88,18,17.0,few clouds
186,Nishihara,JP,26.1842,127.7558,69.08,54,75,13.8,broken clouds
187,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.24,89,1,15.66,clear sky
188,Coquimbo,CL,-29.9533,-71.3436,64.13,82,100,1.14,overcast clouds
189,Portland,US,45.5234,-122.6762,49.17,86,0,3.0,clear sky
190,Iquitos,PE,-3.7481,-73.2472,77.04,94,40,1.14,scattered clouds
191,Tallahassee,US,30.4383,-84.2807,46.6,92,100,6.91,overcast clouds
192,Savannah Bight,HN,16.45,-85.85,78.62,63,5,8.46,clear sky
